+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in syncopation way                                           
            # of total rounds: 7
            # of forward rounds: 3        
            ID = (13, 13), OD = (11, 0)                                  
            Neutrality Measure: 0.707107      
            Total samples : 2^{20}                                                   
+------------------------------------------------------------------------------------+
The file contains the detailed PNBs from the file 231339_06012024_synco_0.71_pnbs_ChaCha_7_id_13_13.txt

****************************** Keyword: 0 *********************************************
*************** PNBs (2) ***************
bias of 16 ~ 0.745661
bias of 3 ~ 0.761339
*************** Non-PNBs (30) ***************
bias of 31 ~ -0.767109
bias of 12 ~ 0.155703
bias of 11 ~ 0.419201
bias of 10 ~ -0.000172
bias of 9 ~ 0.191549
bias of 8 ~ 0.389132
bias of 7 ~ 0.574369
bias of 6 ~ -0.729271
bias of 5 ~ 0.102741
bias of 4 ~ 0.538027
bias of 2 ~ 0.000689
bias of 1 ~ 0.238077
bias of 30 ~ 0.000463
bias of 13 ~ -0.062561
bias of 0 ~ 0.429354
bias of 29 ~ 0.059540
bias of 14 ~ 0.001072
bias of 15 ~ -0.846493
bias of 17 ~ 0.594784
bias of 18 ~ 0.394514
bias of 19 ~ 0.167580
bias of 20 ~ 0.001322
bias of 21 ~ -0.062550
bias of 22 ~ -0.001947
bias of 23 ~ -0.520571
bias of 24 ~ 0.287064
bias of 25 ~ 0.032352
bias of 26 ~ -0.000254
bias of 27 ~ 0.469044
bias of 28 ~ 0.257038
*------------------------------------------------------------------------------------*
****************************** Keyword: 1 *********************************************
*************** PNBs (0) ***************
*************** Non-PNBs (32) ***************
bias of 63 ~ 0.489283
bias of 62 ~ 0.000740
bias of 61 ~ -0.001997
bias of 44 ~ 0.082790
bias of 43 ~ -0.243690
bias of 42 ~ -0.000727
bias of 41 ~ 0.000454
bias of 40 ~ 0.158117
bias of 39 ~ 0.376572
bias of 38 ~ -0.595444
bias of 37 ~ 0.156950
bias of 36 ~ 0.554314
bias of 35 ~ -0.766438
bias of 34 ~ -0.000422
bias of 33 ~ 0.000763
bias of 32 ~ 0.125648
bias of 45 ~ -0.000029
bias of 46 ~ -0.001041
bias of 47 ~ -0.438847
bias of 48 ~ 0.203749
bias of 49 ~ 0.000383
bias of 50 ~ -0.165321
bias of 51 ~ -0.205067
bias of 52 ~ 0.059412
bias of 53 ~ -0.000078
bias of 54 ~ 0.000784
bias of 55 ~ 0.544592
bias of 56 ~ 0.241554
bias of 57 ~ -0.221298
bias of 58 ~ 0.002182
bias of 59 ~ -0.343260
bias of 60 ~ 0.131044
*------------------------------------------------------------------------------------*
****************************** Keyword: 2 *********************************************
*************** PNBs (6) ***************
bias of 95 ~ 0.874514
bias of 93 ~ 0.937878
bias of 92 ~ 0.961248
bias of 91 ~ 0.976528
bias of 94 ~ 0.906933
bias of 68 ~ 0.718849
*************** Non-PNBs (26) ***************
bias of 90 ~ 0.000231
bias of 89 ~ 0.014915
bias of 88 ~ 0.098000
bias of 87 ~ -0.237873
bias of 86 ~ 0.000542
bias of 85 ~ 0.000151
bias of 84 ~ 0.053757
bias of 83 ~ -0.186674
bias of 82 ~ -0.000027
bias of 81 ~ 0.000469
bias of 80 ~ 0.111996
bias of 79 ~ -0.298965
bias of 78 ~ 0.000261
bias of 64 ~ 0.500738
bias of 77 ~ 0.000351
bias of 65 ~ 0.247652
bias of 66 ~ 0.000504
bias of 67 ~ -0.859085
bias of 69 ~ 0.437410
bias of 70 ~ -0.125935
bias of 71 ~ -0.750082
bias of 72 ~ 0.635324
bias of 73 ~ 0.493298
bias of 74 ~ 0.330124
bias of 75 ~ 0.171038
bias of 76 ~ 0.049446
*------------------------------------------------------------------------------------*
****************************** Keyword: 3 *********************************************
*************** PNBs (6) ***************
bias of 104 ~ 0.760509
bias of 100 ~ 0.771025
bias of 99 ~ 0.884439
bias of 98 ~ 0.943050
bias of 97 ~ 0.971304
bias of 96 ~ 0.985706
*************** Non-PNBs (26) ***************
bias of 127 ~ -1.000000
bias of 126 ~ 0.000227
bias of 125 ~ 0.016405
bias of 124 ~ 0.096478
bias of 123 ~ 0.239523
bias of 122 ~ 0.400629
bias of 121 ~ 0.015537
bias of 120 ~ 0.148800
bias of 119 ~ -0.340122
bias of 118 ~ -0.000544
bias of 117 ~ 0.077158
bias of 116 ~ 0.226662
bias of 115 ~ 0.389610
bias of 101 ~ 0.541019
bias of 114 ~ -0.001158
bias of 102 ~ 0.081362
bias of 103 ~ -0.838020
bias of 105 ~ 0.656618
bias of 106 ~ 0.522308
bias of 107 ~ 0.369785
bias of 108 ~ 0.203987
bias of 109 ~ 0.061537
bias of 110 ~ 0.000946
bias of 111 ~ -0.470200
bias of 112 ~ 0.283270
bias of 113 ~ 0.102373
*------------------------------------------------------------------------------------*
****************************** Keyword: 4 *********************************************
*************** PNBs (1) ***************
bias of 136 ~ 0.815062
*************** Non-PNBs (31) ***************
bias of 159 ~ -0.659977
bias of 158 ~ 0.022762
bias of 140 ~ 0.134893
bias of 139 ~ 0.336916
bias of 138 ~ 0.537432
bias of 137 ~ 0.699329
bias of 135 ~ 0.000278
bias of 134 ~ -0.000048
bias of 133 ~ 0.046112
bias of 132 ~ 0.220848
bias of 131 ~ 0.000067
bias of 130 ~ -0.154783
bias of 129 ~ -0.000776
bias of 141 ~ -0.000092
bias of 128 ~ 0.145090
bias of 157 ~ 0.436502
bias of 142 ~ -0.110271
bias of 143 ~ -0.000097
bias of 144 ~ -0.403700
bias of 145 ~ 0.159086
bias of 146 ~ 0.006001
bias of 147 ~ 0.000814
bias of 148 ~ 0.383734
bias of 149 ~ 0.220510
bias of 150 ~ 0.102787
bias of 151 ~ -0.000757
bias of 152 ~ -0.306219
bias of 153 ~ 0.005692
bias of 154 ~ -0.227062
bias of 155 ~ -0.000797
bias of 156 ~ 0.683090
*------------------------------------------------------------------------------------*
****************************** Keyword: 5 *********************************************
*************** PNBs (1) ***************
bias of 191 ~ 0.814964
*************** Non-PNBs (31) ***************
bias of 190 ~ 0.000832
bias of 189 ~ 0.124195
bias of 172 ~ -0.061428
bias of 171 ~ -0.000446
bias of 170 ~ -0.000711
bias of 169 ~ 0.051941
bias of 168 ~ 0.210121
bias of 167 ~ 0.000479
bias of 166 ~ -0.000538
bias of 165 ~ 0.015015
bias of 164 ~ -0.115175
bias of 163 ~ -0.001490
bias of 162 ~ -0.001160
bias of 161 ~ 0.078045
bias of 160 ~ -0.247484
bias of 173 ~ 0.005590
bias of 174 ~ 0.000458
bias of 175 ~ -0.001053
bias of 176 ~ -0.317909
bias of 177 ~ 0.067091
bias of 178 ~ -0.000372
bias of 179 ~ 0.001156
bias of 180 ~ -0.157295
