+------------------------------------------------------------------------------------+
            Cipher Name: ChaCha
            PNB search in conventional way                                           
            # of total rounds: 7
            # of forward rounds: 4        
            ID = (13, 6), OD = (2, 0)⊕(7, 7)⊕(8, 0)                                  
            Neutrality Measure: 0.25      
            Total samples : 2^{21}                                                   
+------------------------------------------------------------------------------------+
########Execution Started on: 22-1-2024-17-10-36########

The file contains the detailed PNBs from the file 101736_22012024_nor_convt_0.25_pnbs_ChaCha_7_id_13_6.txt

****************************** Keyword: 0 *********************************************
bias of 0 ~ 0.014130
bias of 1 ~ 0.000200
bias of 2 ~ 0.837941
bias of 3 ~ 0.737825
bias of 4 ~ 0.607231
bias of 5 ~ 0.439403
bias of 6 ~ 0.251681
bias of 7 ~ 0.089435
bias of 8 ~ 0.011868
bias of 9 ~ -0.001511
bias of 10 ~ 0.116564
bias of 11 ~ 0.033528
bias of 12 ~ 0.004119
bias of 13 ~ 0.000627
bias of 14 ~ 0.407018
bias of 15 ~ 0.229206
bias of 16 ~ 0.085392
bias of 17 ~ 0.011577
bias of 18 ~ -0.000005
bias of 19 ~ 0.096400
bias of 20 ~ 0.014478
bias of 21 ~ 0.000358
bias of 22 ~ 0.078796
bias of 23 ~ 0.016028
bias of 24 ~ 0.000733
bias of 25 ~ -0.000473
bias of 26 ~ 0.133917
bias of 27 ~ 0.036897
bias of 28 ~ 0.001848
bias of 29 ~ -0.000868
bias of 30 ~ -0.000715
bias of 31 ~ 0.248774
****************************** Keyword: 1 *********************************************
bias of 0 ~ -0.000909
bias of 1 ~ 0.114304
bias of 2 ~ 0.010582
bias of 3 ~ 0.108461
bias of 4 ~ 0.016347
bias of 5 ~ -0.000180
bias of 6 ~ 0.025692
bias of 7 ~ 0.378387
bias of 8 ~ 0.177233
bias of 9 ~ 0.035822
bias of 10 ~ 0.000463
bias of 11 ~ 0.072001
bias of 12 ~ 0.010031
bias of 13 ~ 0.001605
bias of 14 ~ 0.000160
bias of 15 ~ 0.772806
bias of 16 ~ 0.590718
bias of 17 ~ 0.308248
bias of 18 ~ 0.020546
bias of 19 ~ 0.412099
bias of 20 ~ 0.216784
bias of 21 ~ 0.066653
bias of 22 ~ 0.004602
bias of 23 ~ 0.015527
bias of 24 ~ -0.001390
bias of 25 ~ 0.000210
bias of 26 ~ -0.000257
bias of 27 ~ 0.256315
bias of 28 ~ 0.099965
bias of 29 ~ 0.015197
bias of 30 ~ 0.000845
bias of 31 ~ 0.003745
****************************** Keyword: 2 *********************************************
bias of 0 ~ 0.062840
bias of 1 ~ -0.000445
bias of 2 ~ 0.998081
bias of 3 ~ 0.996140
bias of 4 ~ 0.992085
bias of 5 ~ 0.984273
bias of 6 ~ 0.968997
bias of 7 ~ 0.938828
bias of 8 ~ 0.878810
bias of 9 ~ 0.765594
bias of 10 ~ 0.561954
bias of 11 ~ 0.249750
bias of 12 ~ -0.000707
bias of 13 ~ 0.999395
bias of 14 ~ 0.998781
bias of 15 ~ 0.997581
bias of 16 ~ 0.995273
bias of 17 ~ 0.990560
bias of 18 ~ 0.981272
bias of 19 ~ 0.963289
bias of 20 ~ 0.928713
bias of 21 ~ 0.862007
bias of 22 ~ 0.736408
bias of 23 ~ 0.520365
bias of 24 ~ 0.201904
bias of 25 ~ 0.007349
bias of 26 ~ 0.640035
bias of 27 ~ 0.450518
bias of 28 ~ 0.231101
bias of 29 ~ 0.056176
bias of 30 ~ -0.000616
bias of 31 ~ 0.561786
****************************** Keyword: 3 *********************************************
bias of 0 ~ 0.190478
bias of 1 ~ 0.040262
bias of 2 ~ 0.000627
bias of 3 ~ 0.107648
bias of 4 ~ 0.016887
bias of 5 ~ 0.000688
bias of 6 ~ 0.989120
bias of 7 ~ 0.978299
bias of 8 ~ 0.963156
bias of 9 ~ 0.937280
bias of 10 ~ 0.896599
bias of 11 ~ 0.833173
bias of 12 ~ 0.738463
bias of 13 ~ 0.609714
bias of 14 ~ 0.444398
bias of 15 ~ 0.263922
bias of 16 ~ 0.104535
bias of 17 ~ 0.016290
bias of 18 ~ 0.000067
bias of 19 ~ 0.437013
bias of 20 ~ 0.223151
bias of 21 ~ 0.053395
bias of 22 ~ -0.000674
bias of 23 ~ 0.267357
bias of 24 ~ 0.107034
bias of 25 ~ 0.014770
bias of 26 ~ -0.000780
bias of 27 ~ 0.933049
bias of 28 ~ 0.889733
bias of 29 ~ 0.827077
bias of 30 ~ 0.750599
bias of 31 ~ 0.672722
****************************** Keyword: 4 *********************************************
bias of 0 ~ 0.076982
bias of 1 ~ 0.009517
bias of 2 ~ -0.000351
bias of 3 ~ 0.040136
bias of 4 ~ 0.003761
bias of 5 ~ 0.000378
bias of 6 ~ 0.000221
bias of 7 ~ 0.266484
bias of 8 ~ 0.118856
bias of 9 ~ 0.031514
bias of 10 ~ 0.002866
